"Lot: Source: Account Name","Lot: Food Rescue Program","Distribution Record: Amount","Pantry Product: Weight (in pounds)","Distribution Record: Cost","Distribution Record: Product Inventory Record ID 18","Product Package ID 18","Distribution Record: Created Date","Distribution Record: Last Modified Date","Product Package: Product Package Name","Pantry Product: Product"
"Greater Boston Food Bank","Weekly Account","2.00","27.00","0.00","a0tVO00000ZngWnYAJ","a1dVO000003C8mTYAS","7/17/2025","7/17/2025","Bulk BHCC 2025-07-07","Applesauce 96/4.5oz"
"Greater Boston Food Bank","Weekly Account","1.00","25.00","0.00","a0tVO00000ZntyTYAR","a1dVO000003C8mTYAS","7/17/2025","7/17/2025","Bulk BHCC 2025-07-07","Beets Red 25lb"
"Greater Boston Food Bank","Weekly Account","1.00","20.00","0.00","a0tVO00000ZneUpYAJ","a1dVO000003C8mTYAS","7/17/2025","7/17/2025","Bulk BHCC 2025-07-07","Broccoli Crowns 20lb"
"Greater Boston Food Bank","Weekly Account","1.00","48.00","0.00","a0tVO00000ZnjKsYAJ","a1dVO000003C8mTYAS","7/17/2025","7/17/2025","Bulk BHCC 2025-07-07","Carrots 24/2lb"
"Greater Boston Food Bank","Weekly Account","1.00","25.00","0.00","a0tVO00000Znu89YAB","a1dVO000003C8mTYAS","7/17/2025","7/17/2025","Bulk BHCC 2025-07-07","Cauliflower Naked 9ct"
"Boston Area Gleaners CSA","","1.00","65.00","0.00","a0tVO00000ZnvozYAB","a1dVO000003C8mTYAS","7/17/2025","7/17/2025","Bulk BHCC 2025-07-07","Celery 30ct 65lb"
"Greater Boston Food Bank","Weekly Account","2.00","12.00","0.00","a0tVO00000ZnurKYAR","a1dVO000003C8mTYAS","7/17/2025","7/17/2025","Bulk BHCC 2025-07-07","Cereal Rice Crispy 10/17.63oz"
"Greater Boston Food Bank","Weekly Account","1.00","36.00","0.00","a0tVO00000ZnvyfYAB","a1dVO000003C8mTYAS","7/17/2025","7/17/2025","Bulk BHCC 2025-07-07","Chayote 48ct"
"Greater Boston Food Bank","Weekly Account","4.00","","0.00","a0tVO00000Znw57YAB","a1dVO000003C8mTYAS","7/17/2025","7/17/2025","Bulk BHCC 2025-07-07","Chicken Chunk Breast 36/10oz"
"Greater Boston Food Bank","Weekly Account","2.00","22.00","0.00","a0tVO00000Znw6jYAB","a1dVO000003C8mTYAS","7/17/2025","7/17/2025","Bulk BHCC 2025-07-07","Eggs Medium 15/1 dozen"
